256,1,200,268,0.10554
487,185,340,355,0.10525
351,153,117,200,0.10512
162,19,271,258,0.10505
578,96,265,444,0.10465
277,83,181,99,0.10438
148,1,31,34,0.10435
913,48,47,72,0.10416
347,67,109,191,0.10395
327,151,65,114,0.10392
819,1,55,96,0.10388
403,131,351,409,0.10381
349,167,611,373,0.10376
295,153,175,281,0.10362
112,384,239,96,0.10358
256,142,77,87,0.10338
236,211,107,161,0.10308
354,85,77,102,0.10276
488,310,251,230,0.10255
347,207,107,147,0.10209
267,319,487,221,0.10197
227,153,127,281,0.10164
376,106,153,281,0.10152
198,178,114,39,0.10145
537,328,201,212,0.10131
344,236,59,136,0.10124
128,219,237,109,0.10108
717,489,72,51,0.10099
112,143,567,184,0.10096
558,187,229,353,0.10093
256,153,176,88,0.10086
30,176,88,265,0.1008
327,132,400,195,0.10071
598,459,188,81,0.10061
99,151,334,97,0.10047
385,109,201,276,0.10044
721,461,67,79,0.10042
33,191,84,79,0.10041
348,178,101,215,0.10009
283,136,48,27,0.10002
713,447,247,93,0.099884
255,148,176,67,0.09982
344,336,35,82,0.099752
353,207,173,153,0.099342
342,319,51,99,0.099327
925,34,35,24,0.099107
282,87,141,190,0.098979
806,1,43,72,0.098737
260,211,128,145,0.098506
256,178,569,352,0.098463
264,205,160,213,0.098453
596,442,102,98,0.098344
796,1,55,90,0.098153
351,109,144,242,0.098012
334,215,305,136,0.097858
359,83,167,365,0.097791
88,196,27,54,0.097718
33,190,85,61,0.097627
815,1,29,74,0.097601
153,156,200,122,0.097422
354,83,79,166,0.097232
250,50,395,213,0.097199
649,479,137,61,0.097179
